produccion	cascara	PesoBolsa	Temperatura	Humedad	Tiempo
414	Entera	4	24	85	6
158	Entera	4	21	85	6
49	Entera	4	19	85	4
143	Entera	4	19	85	6
168	Entera	4	19	85	6
7	Entera	4	19	85	4
35	Entera	4	19	85	4
17	Entera	4	19	85	4
276	Entera	4	24	85	6
244	Entera	4	24	85	6
511	Entera	4	24	85	6
305	Entera	4	24	58	6
281	Entera	4	24	85	6
421	Entera	4	24	85	6
262	Entera	4	24	85	6
191	Entera	4	19	60	6
102	Entera	4	19	60	6
468	Entera	4	24	85	6
101	Entera	5	19	60	6
682	Entera	5	24	85	6
730	Entera	5	24	85	6
151	Entera	5	19	85	6
816	Entera	5	24	85	6
24	Entera	5	19	60	6
56	Entera	5	19	60	6
263	Entera	5	24	85	6
522	Entera	5	24	85	6
784	Entera	5	24	85	6
671	Entera	5	24	85	6
32	Entera	5	19	60	6
928	Entera	5	24	85	6
219	Entera	5	19	85	6
375	Entera	5	24	85	6
495	Entera	5	24	85	6
276	Entera	5	24	85	6
37	Entera	5	19	85	6
102	Entera	5	19	85	6
686	Molida	5	24	85	6
1742	Molida	5	24	85	6
539	Molida	5	24	85	6
780	Molida	5	24	85	6
964	Molida	5	24	85	6
437	Molida	5	24	85	6
644	Molida	5	24	85	6
1267	Molida	5	24	85	6
921	Molida	5	24	85	6
1184	Molida	5	24	85	6
1610	Molida	10	24	85	6
944	Molida	10	24	85	6
657	Molida	10	24	85	6
752	Molida	10	24	85	6
473	Molida	10	24	85	6
1147	Molida	10	24	85	6
266	Molida	10	24	60	4
1155	Molida	10	24	85	6
1036	Molida	10	24	85	6
2345	Molida	10	24	85	6
