Bloques	pH	Tiempo	celulosa
1	4.5	10.5	0.0836
1	5.91421	10.5	0.0521
1	4.5	10.5	0.0666
1	4.5	10.5	0.0824
1	3.08579	10.5	0.0306
1	5.5	8	0.0255
1	4.5	10.5	0.0851
1	4.5	14.0355	0.1884
1	4.5	10.5	0.0864
1	3.5	13	0.5587
1	4.5	6.96447	0.0383
1	5.5	13	0.0591
1	3.5	8	0.2556
1	4.5	10.5	0.1186
1	4.5	10.5	0.0797
1	4.5	10.5	0.0665
2	4.5	10.5	0.0777
2	5.91421	10.5	0.038
2	4.5	10.5	0.0642
2	4.5	10.5	0.104
2	3.08579	10.5	0.0306
2	5.5	8	0.0181
2	4.5	10.5	0.0884
2	4.5	14.0355	0.1485
2	4.5	10.5	0.0901
2	3.5	13	0.5707
2	4.5	6.96447	0.0463
2	5.5	13	0.0515
2	3.5	8	0.2721
2	4.5	10.5	0.0867
2	4.5	10.5	0.0534
2	4.5	10.5	0.0574
